gender,race,college_tier,education_level,years_experience,skills_score,interview_score,test_score,hired
Other,,Tier 1,Bachelors,1.1,33.39,69.24,38.16,0
Male,White,Tier 1,Bachelors,13.5,45.91,58.99,18.85,0
Female,Asian,Tier 2,Masters,3.7,18.66,74.47,69.74,0
Female,White,Tier 2,PhD,7.5,5.45,84.24,77.97,0
Male,White,Tier 3,,9.5,7.93,54.47,59.03,0
Female,White,Tier 2,Bachelors,16.3,16.26,,28.46,0
Male,White,Tier 1,Masters,,38.94,94.22,,1
Female,White,Tier 2,Bachelors,2.6,27.64,67.92,34.76,0
Male,White,,Masters,1.3,37.23,76.34,67.23,1
Female,,Tier 3,Bachelors,1.2,7.26,98.41,65.46,0
,,Tier 3,Masters,1.1,22.28,,2.16,0
Female,White,Tier 1,Bachelors,0.3,28.82,53.04,57.0,0
Male,Black,Tier 1,Bachelors,1.4,16.22,79.76,,0
Other,Other,Tier 2,Bachelors,1.9,28.71,70.09,33.57,0
Female,Asian,,Bachelors,5.4,16.97,75.41,79.76,0
Male,White,Tier 2,Bachelors,1.5,28.49,76.57,94.53,1
Female,Asian,Tier 3,Bachelors,4.4,17.79,83.47,93.56,1
Male,Asian,Tier 1,,0.2,65.29,52.59,77.35,1
Male,,Tier 3,Masters,0.7,39.92,86.51,4.9,0
Female,White,Tier 2,Masters,,,87.55,68.02,1
Male,,Tier 2,Bachelors,2.9,10.72,43.61,22.16,0
Female,Black,Tier 2,Bachelors,4.6,29.19,60.79,,0
Male,,Tier 2,Bachelors,5.1,14.75,85.45,37.27,0
,White,Tier 3,Bachelors,5.6,42.67,78.23,42.26,0
Male,Asian,Tier 2,Bachelors,0.4,24.22,54.42,24.35,0
Male,Asian,Tier 1,Masters,0.1,37.5,53.15,68.5,0
Male,,Tier 3,,6.2,9.44,89.9,40.86,0
Male,Asian,Tier 2,Bachelors,3.3,39.46,,2.78,0
Female,Hispanic,Tier 3,Bachelors,7.3,26.6,80.0,26.59,0
Female,Hispanic,Tier 2,,8.3,48.78,94.73,11.66,1
Male,White,Tier 1,Bachelors,8.6,8.18,84.22,43.48,0
Female,Black,Tier 2,Bachelors,0.7,26.94,86.86,50.08,0
Male,Asian,Tier 3,Bachelors,5.9,26.16,81.63,98.21,1
Male,Asian,Tier 1,Bachelors,4.1,43.11,55.33,,0
Female,Asian,Tier 2,Bachelors,3.8,,83.7,4.25,0
Female,White,Tier 1,Masters,9.1,21.21,,65.36,0
Female,Black,Tier 2,Bachelors,0.1,,84.35,28.03,0
Male,White,Tier 1,Bachelors,0.5,,48.0,58.28,0
Female,White,,Masters,1.7,17.61,,,0
Female,White,Tier 3,Masters,30.0,10.84,85.3,23.23,0
Other,White,Tier 2,Bachelors,0.2,28.88,82.65,63.11,1
Male,Asian,Tier 2,Masters,1.6,17.55,56.06,2.87,0
Female,White,Tier 2,Bachelors,1.7,1.51,83.76,78.17,0
Male,White,,Masters,,47.38,71.39,71.78,1
Female,Asian,Tier 1,Bachelors,,25.85,,81.37,1
Male,Hispanic,Tier 2,Bachelors,1.4,,74.16,34.1,0
Female,White,Tier 2,Masters,0.5,42.42,86.95,3.95,0
Female,,Tier 2,Bachelors,9.9,31.7,,99.54,1
Male,White,Tier 1,Masters,16.4,,70.4,1.88,0
Male,White,Tier 1,Bachelors,6.8,26.09,56.15,72.36,0
Male,Asian,Tier 2,,0.9,,88.86,34.7,0
Female,Black,Tier 1,Bachelors,5.6,22.61,89.72,83.6,1
Male,Black,Tier 1,Bachelors,1.6,17.51,59.97,71.59,0
Female,Other,Tier 2,Bachelors,3.5,2.61,90.38,34.23,0
Female,White,Tier 2,Masters,4.4,,66.48,64.98,0
Other,White,Tier 2,PhD,,26.22,82.17,71.76,1
Female,White,Tier 2,Masters,6.0,41.59,74.01,98.51,1
Male,Black,Tier 3,Bachelors,2.0,35.69,62.69,43.32,0
Male,White,Tier 1,Masters,4.3,11.6,62.02,51.32,0
Female,White,Tier 3,Masters,16.2,14.82,59.24,29.19,0
Male,White,Tier 1,Masters,10.2,35.11,59.16,90.2,1
Male,Black,Tier 1,Bachelors,3.7,9.56,85.62,,0
Male,White,Tier 1,Bachelors,2.0,,65.9,25.78,0
Male,,Tier 2,Masters,,17.64,65.17,21.58,0
Male,Other,Tier 2,Bachelors,4.7,14.96,67.26,52.34,0
Female,White,Tier 3,Bachelors,8.0,16.51,85.93,14.74,0
Male,White,Tier 2,Bachelors,8.6,47.3,80.55,6.26,0
Male,White,Tier 1,Bachelors,5.6,13.38,81.22,14.79,0
Female,Black,Tier 1,PhD,2.0,34.13,92.0,71.64,1
Female,White,Tier 2,Bachelors,6.7,,,32.78,0
Male,Asian,Tier 3,Bachelors,4.6,13.48,74.89,33.3,0
Male,White,Tier 1,,,34.4,49.78,67.07,0
Female,White,Tier 2,Masters,4.2,45.62,92.3,54.93,1
Male,Black,Tier 1,Masters,4.8,35.8,96.18,37.72,1
Male,White,Tier 2,Bachelors,1.0,10.0,43.21,28.86,0
Female,Asian,,Masters,5.2,,77.71,80.26,0
Female,White,Tier 2,,,67.04,75.23,11.83,0
Male,Black,Tier 2,Bachelors,,15.24,47.67,79.66,0
Male,Hispanic,Tier 1,Masters,1.7,44.41,77.68,47.36,1
Female,,Tier 2,Bachelors,0.6,22.13,76.29,58.53,0
Male,Black,Tier 3,Bachelors,1.0,37.59,83.3,,0
Male,White,Tier 2,Bachelors,,47.96,68.74,56.72,1
,White,Tier 1,Masters,1.9,37.9,73.91,21.14,0
Male,,,Bachelors,13.7,37.4,82.45,27.39,0
Female,White,Tier 1,Masters,7.3,42.19,76.56,59.78,1
Female,Black,Tier 1,Bachelors,14.0,35.79,73.01,,0
Male,White,Tier 1,Masters,,39.95,70.54,44.79,1
Male,Hispanic,Tier 2,Bachelors,0.9,66.76,93.64,93.71,1
Male,Black,Tier 1,Masters,,13.22,,36.61,0
Male,White,Tier 2,Bachelors,6.8,24.81,74.57,72.24,1
Male,Other,Tier 3,Bachelors,9.1,34.27,66.26,50.55,0
Male,Hispanic,Tier 2,Bachelors,7.9,20.3,71.54,28.55,0
Female,,Tier 2,Masters,16.7,56.44,82.96,20.36,1
Male,White,,Bachelors,1.4,8.9,69.71,26.0,0
Male,White,Tier 3,Masters,11.0,29.56,71.48,38.98,0
Male,White,Tier 3,PhD,12.3,34.55,50.65,93.82,0
Male,White,Tier 2,Masters,2.8,16.09,88.77,36.86,0
Female,White,Tier 1,PhD,5.0,38.04,74.42,26.45,0
Male,,Tier 2,Bachelors,2.6,35.47,67.4,59.69,0
Male,Asian,Tier 2,Bachelors,3.6,3.71,78.04,60.11,0
Female,White,Tier 2,Masters,4.9,75.46,65.58,99.2,1
Other,Black,Tier 2,Bachelors,,25.15,,16.44,0
Male,Asian,Tier 3,Bachelors,7.1,9.43,73.33,98.54,0
,Black,Tier 2,Bachelors,,45.9,81.18,,1
Male,Asian,Tier 1,Bachelors,14.6,18.26,81.26,13.65,0
,White,Tier 2,Masters,2.6,9.45,84.71,61.76,0
Female,Black,Tier 2,Masters,4.0,13.02,,,0
Male,White,Tier 1,Bachelors,6.2,7.1,84.3,26.06,0
Male,White,Tier 1,Bachelors,7.1,25.7,46.66,88.48,0
Male,White,Tier 3,PhD,11.8,12.3,35.4,48.86,0
Female,White,Tier 3,Bachelors,9.4,38.51,66.65,90.92,1
,White,Tier 1,Bachelors,2.7,24.83,57.93,93.33,0
Female,White,Tier 3,Bachelors,8.6,41.31,,67.94,0
Male,White,Tier 3,Bachelors,27.9,23.63,73.86,52.52,0
Female,Hispanic,Tier 2,,3.1,27.55,86.95,55.44,0
,White,Tier 3,Masters,8.2,61.82,46.95,98.92,1
Other,White,Tier 1,PhD,1.2,23.91,80.6,10.43,0
Female,White,Tier 2,Bachelors,2.8,30.08,44.71,61.95,0
Male,Asian,Tier 1,Bachelors,1.2,,54.97,79.48,0
Female,Black,Tier 2,Bachelors,1.1,25.01,64.01,,0
Female,White,Tier 2,Bachelors,2.2,17.75,80.9,44.52,0
Male,White,Tier 1,Masters,10.3,45.46,86.24,13.49,1
Male,Other,Tier 1,Bachelors,30.0,12.86,81.0,73.88,1
Male,Asian,Tier 1,Masters,2.0,35.74,36.09,10.22,0
,Asian,Tier 2,PhD,10.2,5.23,90.07,,0
Male,Hispanic,Tier 3,Bachelors,1.7,30.46,68.68,,0
Male,Asian,Tier 2,PhD,2.6,38.68,85.0,80.97,1
,White,Tier 2,Bachelors,5.2,10.57,76.53,63.21,0
Male,Other,Tier 3,Masters,1.5,5.16,41.47,28.69,0
Male,Hispanic,Tier 2,Bachelors,5.9,19.43,68.08,56.65,0
Male,Black,Tier 1,Bachelors,2.3,58.55,55.99,87.91,1
Female,White,Tier 1,Bachelors,6.7,26.33,71.1,70.07,0
Male,White,Tier 3,,0.6,45.8,90.71,11.18,0
Male,White,Tier 1,Bachelors,5.6,12.89,69.77,93.26,1
Male,Black,Tier 2,Bachelors,1.4,14.65,37.33,78.8,0
Female,Other,Tier 3,,17.7,36.34,72.68,59.8,0
Male,White,Tier 2,Bachelors,5.5,29.64,96.69,5.35,0
Male,White,Tier 2,Bachelors,2.9,18.71,76.09,75.12,0
Male,White,Tier 2,Bachelors,15.4,57.48,82.29,25.64,1
Male,Asian,,Bachelors,3.7,43.99,78.37,75.78,1
Male,,Tier 2,Bachelors,1.3,17.45,48.79,59.56,0
Male,Black,Tier 2,Bachelors,6.0,20.16,88.48,76.35,1
Female,Hispanic,Tier 3,Bachelors,8.1,30.02,64.47,51.9,0
Female,Asian,Tier 3,,10.8,64.81,71.42,58.73,1
Female,,Tier 2,Masters,1.3,,28.61,49.37,0
Female,,Tier 3,Masters,8.6,20.4,86.49,20.23,0
Male,White,Tier 2,PhD,,44.64,,24.28,0
Male,White,Tier 2,,10.9,57.95,79.0,13.69,1
Male,Asian,Tier 2,Masters,9.5,25.04,65.62,71.85,0
Other,White,Tier 2,Bachelors,6.0,35.26,78.33,96.75,1
Male,Black,Tier 3,Masters,0.2,28.95,76.17,,0
,Black,Tier 2,Bachelors,5.5,38.98,64.42,94.63,1
Male,White,Tier 1,Masters,5.3,59.53,73.87,43.59,1
Male,Hispanic,Tier 2,PhD,3.6,27.71,84.74,29.7,0
Female,White,Tier 1,Bachelors,,23.71,71.0,33.58,0
Female,Hispanic,Tier 2,Bachelors,2.0,47.79,52.16,15.62,0
Female,White,Tier 2,,13.2,11.69,76.84,91.78,1
Male,Hispanic,Tier 2,Bachelors,12.7,7.26,65.21,18.53,0
Male,White,Tier 2,Bachelors,,16.23,77.04,40.32,0
Male,,Tier 2,Bachelors,3.9,,72.0,31.77,0
Male,White,,PhD,,22.84,81.89,26.21,0
Other,Asian,Tier 2,Bachelors,0.1,6.94,66.92,,0
Female,Hispanic,Tier 1,Bachelors,8.3,9.63,86.55,54.59,0
Male,Black,Tier 2,Masters,2.1,25.5,40.06,75.32,0
Other,White,Tier 2,Masters,0.2,8.74,86.14,7.18,0
Male,White,Tier 2,Bachelors,2.1,14.48,53.86,25.71,0
Female,White,Tier 1,Bachelors,14.6,24.04,82.67,85.47,1
Female,,Tier 2,Bachelors,,31.37,84.83,60.64,1
Female,Asian,Tier 2,Bachelors,2.7,26.78,57.36,56.44,0
,White,Tier 3,Masters,1.5,5.77,69.79,,0
Female,White,Tier 3,Masters,0.9,70.74,92.44,9.21,1
Male,,Tier 1,,7.6,,75.3,,0
Female,Black,Tier 3,PhD,6.0,9.6,,2.28,0
Female,White,Tier 2,Bachelors,2.8,44.47,90.45,99.67,1
,White,Tier 1,Masters,19.0,21.54,74.37,75.45,1
Male,White,Tier 2,Bachelors,8.7,40.53,58.7,93.29,1
,White,Tier 1,,5.7,25.44,90.6,,1
Other,Hispanic,Tier 1,,11.3,25.02,58.17,9.29,0
Male,White,Tier 2,Bachelors,1.7,16.76,59.67,88.47,0
Male,White,,Bachelors,3.0,60.92,64.12,14.24,0
Female,White,Tier 1,,9.9,18.32,84.51,86.51,1
Male,White,,Bachelors,,,61.72,37.21,0
Male,White,Tier 2,Bachelors,1.3,,72.08,81.3,1
,,Tier 2,PhD,,7.8,,55.16,0
Male,Other,Tier 2,Bachelors,3.4,23.16,78.11,44.65,0
Male,White,Tier 3,Masters,10.6,28.51,59.9,71.41,0
Male,White,Tier 2,Bachelors,0.1,24.34,91.62,83.83,1
Male,White,Tier 2,Bachelors,0.7,7.49,93.53,0.5,0
Female,,Tier 2,Bachelors,2.1,30.62,84.44,47.15,0
Other,White,Tier 1,Bachelors,11.3,33.36,64.25,4.29,0
Other,White,Tier 1,Bachelors,19.3,11.66,50.57,59.72,0
Female,Asian,Tier 3,Bachelors,2.4,44.28,70.78,35.48,0
,White,Tier 2,Bachelors,4.2,64.11,,,1
Male,Asian,Tier 3,PhD,0.6,72.73,83.63,38.03,1
Male,Black,Tier 2,Bachelors,1.2,37.35,83.95,7.59,0
Male,Black,Tier 2,Bachelors,2.1,45.59,81.37,29.66,1
Male,White,Tier 3,PhD,11.5,49.88,81.34,18.85,0
Male,White,Tier 2,Bachelors,,30.58,94.53,9.97,0
Male,White,Tier 2,Masters,0.5,47.46,65.19,,0
Female,White,Tier 2,Bachelors,4.7,60.12,66.35,74.13,1
Male,Asian,Tier 2,Bachelors,0.9,,67.39,29.75,0
,Black,Tier 3,,,18.45,37.15,26.83,0
Male,Asian,Tier 3,Bachelors,1.0,39.97,54.47,83.05,0
Male,White,Tier 2,Bachelors,,17.68,58.87,81.18,0
Male,White,Tier 1,Masters,0.1,43.24,86.24,14.16,0
Female,Hispanic,Tier 2,Bachelors,5.4,49.57,93.2,30.18,1
Male,Black,,Bachelors,0.2,40.72,86.15,75.39,1
Male,White,Tier 1,Bachelors,2.6,43.24,56.26,28.41,0
,,Tier 1,Masters,1.1,23.14,74.99,17.88,0
Female,White,Tier 2,Bachelors,3.3,36.68,53.86,79.14,0
Female,White,,PhD,0.4,37.81,88.49,28.01,0
Male,White,Tier 1,PhD,4.0,37.35,50.92,10.13,0
Male,White,Tier 2,,0.6,20.02,75.63,55.52,0
,Black,,Bachelors,4.7,25.24,,4.84,0
Male,Hispanic,Tier 2,Bachelors,1.1,14.47,66.5,45.67,0
Male,Black,Tier 1,Bachelors,2.2,12.18,67.83,73.69,0
Male,Black,Tier 3,,0.2,11.63,84.95,77.34,0
Female,Hispanic,Tier 2,Masters,13.1,10.31,86.45,2.11,0
Female,Asian,Tier 2,Masters,0.6,25.78,83.44,25.28,0
Male,,Tier 1,PhD,0.6,26.49,30.79,23.2,0
Male,Asian,Tier 1,Bachelors,10.6,30.19,62.6,25.83,0
Male,White,Tier 2,Bachelors,2.5,20.23,93.41,29.3,0
Female,Hispanic,Tier 3,Masters,20.3,33.47,64.82,29.99,0
Male,Black,Tier 1,Masters,,44.95,72.84,22.51,0
Female,Black,Tier 2,,5.3,29.35,49.55,91.09,0
Female,Hispanic,Tier 1,,0.2,,40.22,30.15,0
Female,Black,Tier 2,Bachelors,13.9,48.3,87.23,22.34,1
Male,White,Tier 2,Bachelors,,19.36,81.54,80.69,1
Male,White,,Masters,0.5,45.7,92.25,91.69,1
Male,Asian,Tier 2,Bachelors,6.8,,88.42,35.45,0
Male,White,Tier 2,Masters,7.0,,66.91,54.2,0
Male,White,Tier 3,,4.0,16.02,61.76,42.17,0
Male,White,Tier 2,Bachelors,3.9,13.85,74.44,,0
Male,Asian,,Masters,10.8,38.05,94.7,92.52,1
Male,White,Tier 3,,2.0,16.06,94.62,72.45,1
Female,White,Tier 2,Bachelors,0.4,,98.51,,1
Male,White,Tier 3,Bachelors,2.7,37.05,74.09,33.05,0
Male,White,Tier 2,Masters,0.6,18.59,89.29,,0
Male,White,,Masters,17.3,46.76,83.41,1.12,0
Male,Black,Tier 3,Bachelors,4.0,19.63,,94.85,0
,Other,Tier 3,,,15.43,82.28,23.24,0
Female,Hispanic,Tier 2,Bachelors,10.3,51.6,84.45,74.07,1
Male,Hispanic,Tier 3,Masters,6.4,12.76,32.44,48.8,0
,White,Tier 2,Bachelors,2.5,71.76,94.6,46.37,1
Male,White,Tier 2,Masters,3.1,27.63,85.61,,1
Male,Black,Tier 1,Bachelors,1.3,24.11,85.66,72.18,1
Female,White,Tier 1,Masters,4.6,22.69,36.0,,0
Male,Black,Tier 2,Bachelors,7.7,27.79,,40.05,0
,White,Tier 3,Bachelors,6.4,18.05,70.38,11.74,0
,White,Tier 2,Bachelors,1.9,,70.5,36.94,0
Other,White,,Bachelors,5.6,24.76,30.97,43.45,0
,,Tier 1,,4.9,25.66,68.11,26.43,0
Female,White,Tier 3,Bachelors,5.2,23.04,67.94,64.26,0
Male,Black,Tier 1,Masters,1.5,,51.36,48.62,0
Male,White,Tier 2,Bachelors,4.8,20.35,69.19,49.29,0
Female,,Tier 3,PhD,1.1,23.01,82.86,96.77,1
Male,White,Tier 1,Bachelors,2.6,11.31,76.16,82.77,1
Female,White,Tier 2,Bachelors,,30.25,84.9,6.28,0
Male,Hispanic,Tier 3,,5.4,22.39,61.44,68.57,0
Female,White,Tier 1,Bachelors,4.2,50.3,61.48,56.37,1
Female,White,Tier 1,PhD,1.4,16.43,,24.77,0
Female,Black,Tier 2,PhD,8.1,8.63,87.96,78.43,0
Male,,Tier 2,Bachelors,0.1,28.28,82.13,53.8,0
Female,White,Tier 3,,,66.81,59.8,39.75,0
,White,Tier 2,Bachelors,1.1,74.51,57.28,17.75,0
Male,White,Tier 1,Bachelors,0.9,28.56,73.1,41.95,0
Male,Black,,Bachelors,15.1,,79.45,9.83,0
Female,Asian,Tier 1,Bachelors,1.8,6.09,52.31,96.42,0
Other,Other,Tier 2,Bachelors,0.8,56.7,90.59,88.01,1
Male,Asian,Tier 2,Bachelors,2.8,58.91,95.08,25.27,1
Male,White,Tier 3,Bachelors,8.3,48.6,57.65,48.76,0
Female,White,Tier 2,,0.7,22.16,71.32,68.65,0
Male,Black,Tier 1,Bachelors,4.3,40.42,57.81,21.28,0
Other,Asian,Tier 2,Bachelors,1.6,25.99,88.46,,0
Male,White,Tier 1,,12.0,11.8,97.33,22.66,0
Female,White,Tier 3,Bachelors,1.0,8.11,60.85,21.93,0
Female,White,Tier 2,Bachelors,2.3,,70.96,67.05,0
Female,White,Tier 2,Bachelors,1.8,41.82,58.35,79.87,0
Male,Black,Tier 1,Bachelors,4.8,20.07,57.7,,0
Female,White,Tier 1,Bachelors,4.4,22.11,59.69,63.93,0
Male,Black,Tier 2,Masters,3.1,8.79,60.4,61.84,0
Male,White,Tier 3,Bachelors,11.2,24.36,70.48,78.39,0
Male,White,Tier 2,Masters,4.9,4.54,50.64,62.91,0
Male,White,Tier 2,Bachelors,11.0,13.96,77.33,76.75,0
,White,Tier 2,Bachelors,,15.7,80.32,67.58,0
Male,White,Tier 2,PhD,1.5,18.31,87.02,53.47,0
Other,White,Tier 3,Bachelors,12.6,18.7,,2.38,0
Male,White,Tier 3,Bachelors,3.6,9.68,62.99,2.87,0
,White,Tier 2,Masters,15.1,4.03,80.21,57.69,0
Male,White,Tier 3,PhD,2.4,29.65,90.42,24.49,0
Male,Other,Tier 2,Bachelors,,23.43,75.6,13.38,0
Male,Asian,Tier 3,Bachelors,3.0,39.25,47.31,47.22,0
Female,Black,Tier 2,Bachelors,11.4,12.18,87.46,91.24,1
Male,Black,Tier 2,Bachelors,1.8,11.3,40.97,81.12,0
Female,,Tier 1,Masters,0.7,22.83,92.98,13.15,0
Female,Black,Tier 2,Bachelors,4.9,,73.55,23.81,0
Male,,Tier 3,Bachelors,9.1,21.75,97.61,12.17,0
Male,Black,Tier 2,Bachelors,10.0,27.87,79.4,5.02,0
Male,Asian,Tier 3,PhD,3.3,25.21,65.63,23.59,0
Female,Asian,Tier 2,Bachelors,0.9,42.71,86.34,95.13,1
Male,White,Tier 1,Bachelors,20.3,19.29,82.72,,1
Male,White,Tier 3,Bachelors,23.4,43.21,81.63,75.49,1
Male,,,Masters,1.7,19.28,,58.44,0
Male,White,Tier 1,Bachelors,0.2,50.88,49.47,77.57,1
Male,White,Tier 3,Bachelors,0.6,38.26,73.17,13.81,0
Male,White,Tier 1,Bachelors,3.3,18.14,54.46,20.26,0
Male,White,Tier 2,Masters,0.6,14.29,77.35,49.53,0
Male,Hispanic,,Masters,8.6,,90.32,98.53,1
,Black,Tier 3,,13.7,,51.4,63.28,0
Male,Asian,Tier 2,PhD,7.5,35.92,27.56,73.59,0
Female,,Tier 2,Bachelors,0.3,67.62,76.79,48.46,1
Other,Black,,Bachelors,2.3,11.84,55.1,64.42,0
Other,,Tier 1,Masters,8.2,12.9,66.61,36.77,0
