gender,race,college_tier,education_level,years_experience,skills_score,interview_score,test_score,hired
Female,White,Tier 2,Masters,7,13.22,31.65,71.72,0
Male,White,Tier 2,Masters,11,43.99,8.7,53.81,0
Male,White,Tier 2,Masters,7,64.4,30.32,50.87,0
Male,Black,Tier 2,Bachelors,10,38.1,96.66,24.31,1
Male,Other,Tier 2,Bachelors,13,5.46,94.47,74.48,1
Other,Asian,Tier 1,Masters,7,59.95,33.49,16.82,0
Male,Asian,Tier 1,Masters,9,90.24,57.09,18.99,1
Male,Asian,Tier 3,Bachelors,6,38.32,90.96,46.07,1
Male,Asian,Tier 2,Masters,16,21.63,0.62,28.63,0
Other,Black,Tier 2,Bachelors,3,44.26,81.07,24.75,0
Male,Hispanic,Tier 1,Bachelors,12,4.84,94.84,64.52,1
Male,Other,Tier 1,Bachelors,3,82.05,9.13,65.1,0
Other,White,Tier 2,Masters,4,82.63,16.14,82.45,1
Other,Hispanic,Tier 3,Masters,3,58.8,96.07,41.77,1
Other,Asian,Tier 2,Bachelors,17,35.31,53.75,7.31,0
Male,Hispanic,Tier 3,Masters,5,79.98,1.42,27.37,0
Other,Other,Tier 2,Bachelors,1,55.47,25.76,98.0,0
Other,White,Tier 1,Bachelors,10,82.59,44.99,59.63,1
Male,White,Tier 2,Bachelors,13,63.15,69.29,70.97,1
Other,Other,Tier 1,Bachelors,4,78.44,73.32,0.74,1
Male,Other,Tier 1,Bachelors,5,59.86,99.54,51.82,1
Female,Asian,Tier 3,Masters,9,41.41,28.75,3.75,0
Other,White,Tier 2,Masters,7,95.79,53.82,56.92,1
Female,Hispanic,Tier 2,Masters,13,54.11,53.33,92.08,1
Male,Black,Tier 1,Bachelors,2,60.51,40.56,96.84,1
Other,Black,Tier 1,Bachelors,11,22.05,16.92,54.06,0
Male,Other,Tier 1,Bachelors,15,62.57,97.75,45.82,1
Female,Asian,Tier 1,Bachelors,16,57.16,85.33,94.5,1
Male,Black,Tier 2,Masters,0,18.48,49.83,67.36,0
Other,White,Tier 1,Bachelors,9,5.96,60.32,6.49,0
Other,Other,Tier 2,Masters,9,60.44,22.73,46.57,0
Female,Hispanic,Tier 1,Masters,20,76.37,54.38,24.02,1
Male,Other,Tier 1,Bachelors,1,52.34,69.5,46.98,1
Other,Hispanic,Tier 1,Masters,8,22.68,51.52,45.55,0
Female,Other,Tier 2,Masters,12,66.65,99.03,58.21,1
Other,Other,Tier 2,Masters,15,8.01,61.13,35.68,0
Other,Other,Tier 2,Masters,17,44.18,37.1,16.43,0
Male,Hispanic,Tier 2,Bachelors,18,16.34,77.22,50.37,0
Other,Hispanic,Tier 2,Bachelors,11,18.45,17.05,83.02,0
Male,Other,Tier 1,Bachelors,7,20.23,38.45,66.4,0
Other,Black,Tier 1,Bachelors,16,38.67,34.7,33.84,0
Female,Asian,Tier 3,Masters,14,5.12,43.18,93.55,0
Other,Asian,Tier 2,Bachelors,9,39.78,78.18,91.22,1
Male,Asian,Tier 1,PhD,14,51.17,48.42,20.93,0
Male,Hispanic,Tier 3,Masters,14,48.33,79.4,3.94,0
Female,Hispanic,Tier 2,Bachelors,6,38.28,57.65,74.13,0
Other,Black,Tier 1,Bachelors,12,83.91,34.21,82.76,1
Other,Asian,Tier 2,Masters,16,14.53,81.0,96.79,1
Female,Asian,Tier 2,Masters,8,50.57,23.83,88.98,0
Other,Other,Tier 2,Masters,7,6.2,22.44,60.05,0
Other,Hispanic,Tier 1,Bachelors,19,7.12,50.45,53.01,0
Male,Asian,Tier 1,Bachelors,20,57.39,26.08,2.78,0
Other,Black,Tier 2,Bachelors,17,56.6,0.91,24.67,0
Other,Black,Tier 2,Bachelors,12,87.8,64.83,45.96,1
Female,Asian,Tier 3,Masters,15,55.79,51.11,62.85,0
Female,Hispanic,Tier 2,Masters,8,95.98,44.55,55.73,1
Male,Black,Tier 1,Masters,11,4.87,96.7,74.26,1
Other,Other,Tier 2,Masters,11,9.8,57.12,27.98,0
Other,Black,Tier 1,Masters,5,4.41,86.34,56.5,0
Other,White,Tier 2,Bachelors,18,18.53,13.95,8.81,0
Male,White,Tier 2,Bachelors,6,54.13,56.92,41.37,0
Male,Hispanic,Tier 1,PhD,2,64.56,86.8,75.02,1
Female,Asian,Tier 2,Bachelors,15,4.56,58.31,69.34,0
Male,Hispanic,Tier 1,PhD,17,94.6,71.8,99.06,1
Other,Hispanic,Tier 1,Masters,15,84.22,37.2,27.79,1
Other,Hispanic,Tier 1,Bachelors,6,29.66,9.24,49.82,0
Male,Hispanic,Tier 1,Masters,3,7.72,45.79,32.95,0
Other,Other,Tier 3,Masters,7,16.99,39.45,44.06,0
Other,Other,Tier 2,Masters,12,12.69,86.71,85.7,1
Male,Black,Tier 1,PhD,12,12.33,24.4,68.42,0
Male,White,Tier 2,PhD,16,51.86,96.67,88.24,1
Other,Hispanic,Tier 1,Bachelors,16,24.58,95.81,20.35,0
Other,Black,Tier 3,Bachelors,4,35.81,24.76,87.34,0
Other,White,Tier 2,PhD,5,98.95,34.81,5.98,0
Female,Asian,Tier 2,Masters,18,68.43,89.56,88.86,1
Female,Other,Tier 1,Bachelors,12,94.9,96.66,32.91,1
Female,White,Tier 2,Bachelors,13,14.26,44.34,31.46,0
Male,Asian,Tier 2,Masters,3,38.21,32.1,51.21,0
Female,White,Tier 3,PhD,6,55.47,52.61,94.07,1
Male,Other,Tier 1,Masters,7,7.68,68.78,4.78,0
Male,Other,Tier 1,Masters,12,0.42,27.35,35.22,0
Female,Black,Tier 3,Bachelors,5,67.04,73.65,85.66,1
Female,Hispanic,Tier 2,Bachelors,5,64.18,5.17,39.61,0
Female,White,Tier 1,Masters,20,41.08,4.93,19.92,0
Other,White,Tier 1,Bachelors,2,48.96,38.63,42.48,0
Female,Asian,Tier 3,Bachelors,2,41.54,35.35,38.56,0
Other,Other,Tier 1,Bachelors,12,2.4,31.56,91.54,0
Male,White,Tier 2,Masters,1,33.54,49.1,76.19,0
Other,Other,Tier 2,PhD,15,17.71,32.07,50.51,0
Female,White,Tier 1,Bachelors,5,9.84,19.23,98.84,0
Male,Black,Tier 2,Bachelors,7,95.67,30.95,46.53,1
Male,Hispanic,Tier 1,Masters,7,59.94,97.49,5.82,1
Male,White,Tier 1,PhD,5,72.87,41.11,26.23,0
Other,Other,Tier 2,Bachelors,13,31.54,44.47,43.61,0
Female,Black,Tier 3,Bachelors,2,39.31,57.65,15.69,0
Male,White,Tier 2,Bachelors,9,23.69,98.33,94.76,1
Male,Asian,Tier 2,Masters,2,9.7,24.16,76.68,0
Male,Hispanic,Tier 1,Bachelors,11,17.9,68.13,26.83,0
Other,White,Tier 1,Bachelors,16,79.75,71.6,59.08,1
Other,Black,Tier 1,Masters,4,67.75,60.73,72.14,1
Female,Asian,Tier 1,Masters,19,54.69,8.86,94.13,0
Other,Black,Tier 1,Bachelors,8,47.51,67.69,88.16,1
Male,Black,Tier 1,Masters,20,92.24,6.41,51.52,1
Female,Asian,Tier 1,Bachelors,19,7.27,59.61,77.47,0
Male,Black,Tier 1,Masters,6,28.06,73.96,56.21,1
Male,Asian,Tier 2,Bachelors,3,34.99,21.1,55.27,0
Other,White,Tier 3,Masters,12,78.24,84.16,11.47,1
Female,Asian,Tier 1,Bachelors,12,99.25,3.04,12.61,0
Other,Asian,Tier 3,Masters,9,24.07,84.38,52.95,0
Other,Hispanic,Tier 3,Masters,17,87.43,46.03,26.89,0
Female,Asian,Tier 1,Masters,16,83.06,21.76,2.1,0
Male,Asian,Tier 2,Masters,19,22.47,13.38,72.28,0
Male,White,Tier 2,Masters,19,39.93,95.33,3.25,0
Female,Hispanic,Tier 2,Bachelors,12,40.97,7.27,59.53,0
Male,Other,Tier 1,Bachelors,16,97.82,19.91,53.92,1
Female,White,Tier 2,PhD,3,18.09,34.78,96.88,0
Female,White,Tier 1,Bachelors,0,79.92,62.02,48.42,1
Other,Other,Tier 2,Masters,0,33.42,54.48,6.36,0
Female,Asian,Tier 2,PhD,14,73.09,12.56,55.17,0
Other,Black,Tier 2,Bachelors,12,42.0,28.97,84.11,0
Male,Hispanic,Tier 2,Masters,16,57.84,23.88,99.68,1
Male,Black,Tier 2,Bachelors,7,83.26,21.35,43.03,0
Male,Other,Tier 1,Masters,17,80.42,41.11,32.03,1
Male,White,Tier 1,Bachelors,12,86.64,70.4,90.67,1
Other,White,Tier 3,Bachelors,13,5.96,21.75,19.12,0
Male,Hispanic,Tier 1,Masters,7,69.21,36.67,61.54,1
Female,White,Tier 1,Masters,7,14.0,39.09,40.57,0
Female,White,Tier 1,Masters,14,41.58,97.65,4.11,1
Female,Hispanic,Tier 1,Masters,12,54.86,95.47,34.73,1
Other,Hispanic,Tier 3,Bachelors,6,40.27,80.01,26.52,0
Male,Other,Tier 2,Masters,4,51.96,24.17,68.61,0
Male,White,Tier 3,Bachelors,16,99.65,6.8,94.88,1
Male,White,Tier 2,PhD,15,13.52,31.69,26.8,0
Other,Other,Tier 2,Masters,1,67.55,26.68,81.15,0
Female,Asian,Tier 1,Masters,17,39.6,50.59,5.54,0
Female,Asian,Tier 2,PhD,16,13.3,77.77,53.81,0
Male,Asian,Tier 1,Bachelors,6,15.87,85.83,7.06,0
Female,Other,Tier 3,Masters,12,94.93,84.49,93.4,1
Female,White,Tier 3,Bachelors,17,87.96,35.97,76.64,1
Other,Other,Tier 1,PhD,13,90.7,68.72,65.79,1
Other,Other,Tier 3,Bachelors,17,99.15,31.28,82.39,1
Other,Asian,Tier 3,Masters,12,20.83,6.09,64.75,0
Other,Black,Tier 2,Masters,10,35.54,70.16,96.89,1
Male,White,Tier 1,Bachelors,20,66.92,0.98,71.4,0
Other,Asian,Tier 2,Bachelors,20,48.38,40.92,92.47,1
Female,Black,Tier 2,Masters,15,41.84,32.94,51.71,0
Male,Black,Tier 1,Bachelors,16,35.78,69.34,11.71,0
Female,Hispanic,Tier 1,Bachelors,7,59.38,76.62,52.82,1
Female,White,Tier 2,Bachelors,18,57.56,30.41,12.69,0
Female,Black,Tier 1,Bachelors,19,16.15,81.16,59.25,0
Other,Asian,Tier 2,Masters,14,47.17,29.39,48.25,0
Other,Hispanic,Tier 3,Masters,8,55.35,44.63,62.26,0
Male,White,Tier 3,Bachelors,19,57.03,72.7,1.0,0
Male,Other,Tier 1,Bachelors,9,21.01,69.29,19.48,0
Other,Asian,Tier 3,Bachelors,11,74.23,98.74,49.13,1
Female,Black,Tier 1,Bachelors,20,2.52,22.52,95.05,0
Male,Black,Tier 1,Bachelors,19,35.48,66.23,38.36,0
Other,Asian,Tier 2,Bachelors,0,78.02,60.97,42.44,1
Other,Black,Tier 1,Bachelors,19,56.39,91.51,71.47,1
Other,Hispanic,Tier 1,Masters,8,26.12,15.64,60.38,0
Female,White,Tier 2,Bachelors,14,69.5,75.18,29.89,1
Other,Hispanic,Tier 1,Masters,0,56.74,56.83,41.08,0
Other,Black,Tier 1,Masters,11,79.62,27.47,21.77,0
Other,Other,Tier 2,Masters,2,73.5,47.44,96.6,1
Other,White,Tier 2,Masters,10,61.01,33.38,13.06,0
Male,White,Tier 2,Masters,1,48.82,57.93,37.18,0
Male,Asian,Tier 1,Masters,15,13.32,88.9,2.58,0
Other,Asian,Tier 2,Masters,8,26.13,56.93,22.18,0
Female,Other,Tier 1,Masters,14,41.91,63.17,78.05,1
Male,White,Tier 1,Masters,11,59.93,51.87,20.12,0
Other,Other,Tier 2,Masters,0,51.37,5.12,8.01,0
Male,Asian,Tier 1,Bachelors,12,28.82,23.29,47.45,0
Male,Asian,Tier 1,Bachelors,13,0.65,49.2,1.0,0
Female,White,Tier 2,Bachelors,7,49.62,31.02,8.48,0
Other,Hispanic,Tier 2,Masters,7,28.56,18.18,80.76,0
Other,Black,Tier 2,Masters,11,73.46,50.41,77.15,1
Female,Asian,Tier 1,PhD,0,2.39,32.28,91.51,0
Female,Asian,Tier 1,Masters,10,58.48,25.81,85.45,0
Other,Hispanic,Tier 1,Bachelors,7,94.15,46.4,68.32,1
Other,Hispanic,Tier 1,Bachelors,9,17.44,13.33,5.23,0
Female,Other,Tier 2,Masters,18,47.16,92.77,78.28,1
Male,Other,Tier 3,Masters,10,9.14,86.77,84.55,0
Male,Black,Tier 2,PhD,6,62.57,70.76,79.91,1
Female,Black,Tier 2,Bachelors,10,55.05,10.62,50.85,0
Male,White,Tier 2,Masters,16,40.74,77.59,23.29,0
Female,Other,Tier 2,Masters,0,52.14,80.8,84.53,1
Male,Asian,Tier 1,Masters,20,89.66,76.78,72.72,1
Male,Other,Tier 2,Masters,20,19.63,11.4,98.08,0
Other,Asian,Tier 2,Masters,7,2.26,64.39,15.57,0
Other,Hispanic,Tier 1,Bachelors,5,86.17,83.43,22.57,1
Male,Other,Tier 1,Masters,17,57.71,57.74,21.18,0
Male,Hispanic,Tier 3,Masters,5,89.07,64.64,79.25,1
Other,Black,Tier 1,Masters,4,59.69,45.84,18.69,0
Other,Black,Tier 1,Masters,12,81.02,52.87,6.67,0
Other,White,Tier 2,Bachelors,18,42.97,3.44,99.86,0
Female,Other,Tier 2,Bachelors,7,74.99,63.9,2.48,0
Male,Hispanic,Tier 2,PhD,8,91.3,8.14,83.52,1
Other,Asian,Tier 2,Masters,16,57.21,43.5,36.54,0
Male,Black,Tier 1,PhD,2,18.08,29.27,84.16,0
Female,Black,Tier 2,Bachelors,18,26.88,54.54,55.46,0
Female,Asian,Tier 1,Masters,10,19.86,13.34,90.16,0
Other,Hispanic,Tier 3,Masters,16,24.69,69.16,92.62,1
Female,Hispanic,Tier 2,PhD,20,30.64,79.5,0.91,0
Male,Other,Tier 1,Bachelors,18,55.51,16.34,7.54,0
Other,Other,Tier 1,Masters,1,58.8,10.43,25.04,0
Male,White,Tier 1,Masters,7,42.65,14.55,66.93,0
Male,Black,Tier 1,Bachelors,18,61.54,87.71,88.83,1
Female,Other,Tier 1,Masters,6,8.16,52.82,45.99,0
Female,Hispanic,Tier 2,Masters,16,8.78,46.73,60.7,0
Female,Asian,Tier 2,PhD,5,17.18,10.67,18.85,0
Female,Hispanic,Tier 1,Bachelors,18,51.81,64.96,80.5,1
Female,Black,Tier 1,Bachelors,5,21.4,86.8,96.73,1
Other,Hispanic,Tier 1,Bachelors,1,28.33,82.82,26.86,0
Male,White,Tier 3,Bachelors,5,40.03,62.61,49.48,0
Male,Black,Tier 1,Bachelors,4,81.19,7.53,8.61,0
Male,Asian,Tier 2,Masters,18,1.39,11.24,55.91,0
Male,White,Tier 3,Bachelors,19,64.94,4.93,50.28,0
Female,Black,Tier 2,PhD,3,66.89,25.75,14.44,0
Male,Asian,Tier 3,PhD,16,79.87,13.57,44.21,0
Other,White,Tier 1,Masters,10,93.28,26.0,33.41,1
Other,White,Tier 3,PhD,3,2.01,38.51,52.18,0
Male,Black,Tier 1,Masters,12,15.38,94.3,58.57,1
Male,Other,Tier 1,Masters,19,88.62,61.04,0.85,1
Other,White,Tier 2,Bachelors,16,45.85,83.5,76.1,1
Other,White,Tier 3,Bachelors,8,56.46,71.04,71.3,1
Female,Asian,Tier 3,Masters,3,66.3,11.25,36.63,0
Other,Hispanic,Tier 1,Masters,13,67.91,73.59,5.29,1
Female,Black,Tier 1,Bachelors,18,93.17,27.51,75.49,1
Female,Black,Tier 3,Masters,2,99.69,63.91,95.52,1
Female,Other,Tier 1,Masters,13,72.02,34.1,24.02,0
Female,Other,Tier 2,Bachelors,7,28.72,99.77,32.35,1
Female,Black,Tier 3,PhD,0,87.98,26.36,18.38,0
Male,Other,Tier 2,Masters,9,4.92,27.91,57.69,0
Other,Asian,Tier 1,Bachelors,17,23.11,93.07,15.48,0
Female,Black,Tier 2,Masters,15,89.74,2.46,35.62,0
Other,Other,Tier 1,Bachelors,7,25.62,69.67,69.7,1
Other,Black,Tier 3,Masters,0,22.07,72.53,56.01,0
Female,Hispanic,Tier 2,Bachelors,11,13.81,83.64,38.65,0
Male,White,Tier 3,Bachelors,7,85.91,97.44,42.02,1
Female,Black,Tier 1,PhD,15,50.01,97.56,56.21,1
Male,White,Tier 3,Masters,17,67.49,6.53,0.59,0
Other,Other,Tier 2,Bachelors,3,23.91,82.18,7.85,0
Male,White,Tier 1,Bachelors,5,75.8,64.63,88.13,1
Male,Black,Tier 1,PhD,11,76.0,64.73,7.79,1
Male,Hispanic,Tier 2,Bachelors,8,31.26,12.83,70.68,0
Other,Other,Tier 2,Bachelors,14,41.07,65.02,92.0,1
Other,Black,Tier 3,Bachelors,15,20.97,98.25,27.07,0
Male,Other,Tier 1,Bachelors,11,97.66,91.18,37.05,1
Male,Asian,Tier 1,Masters,13,64.56,43.91,56.89,1
Female,White,Tier 2,Masters,12,93.45,3.99,88.17,1
Male,Asian,Tier 1,Bachelors,1,30.34,36.23,94.19,0
Female,Black,Tier 2,Masters,2,78.19,82.64,73.96,1
Male,Hispanic,Tier 3,Bachelors,9,76.59,70.15,8.66,0
Female,Other,Tier 3,PhD,8,69.17,45.93,66.92,0
Other,White,Tier 3,PhD,19,96.56,5.51,41.03,0
Male,Other,Tier 2,Bachelors,7,39.36,42.69,47.07,0
Male,Black,Tier 1,Masters,9,13.07,46.9,4.91,0
Male,Other,Tier 2,Masters,18,67.17,92.86,19.11,1
Male,White,Tier 2,Bachelors,2,72.93,64.11,79.05,1
Female,Black,Tier 3,Bachelors,4,57.51,31.17,45.4,0
Male,Other,Tier 1,Bachelors,2,20.68,52.53,30.17,0
Other,Hispanic,Tier 2,Masters,15,50.45,6.61,38.4,0
Other,Black,Tier 1,PhD,16,31.22,97.26,85.44,1
Male,Black,Tier 2,Masters,14,42.75,36.01,74.9,0
Other,Hispanic,Tier 3,Masters,2,64.52,47.79,27.23,0
Male,Asian,Tier 2,Masters,11,74.52,35.53,11.75,0
Male,White,Tier 1,Masters,8,23.22,68.25,25.2,0
Other,Asian,Tier 3,Masters,20,40.53,66.22,92.08,1
Male,Other,Tier 2,Bachelors,11,26.92,71.53,58.16,0
Other,Hispanic,Tier 1,Masters,14,19.86,26.81,53.35,0
Female,Asian,Tier 1,Masters,1,78.34,31.57,59.64,1
Male,Black,Tier 1,Bachelors,17,90.93,12.53,36.6,0
Female,Other,Tier 1,Masters,19,37.02,65.55,80.71,1
Other,Other,Tier 3,Bachelors,11,75.13,3.98,52.33,0
Female,Asian,Tier 2,Masters,3,89.7,59.77,11.67,1
Female,Asian,Tier 3,Masters,15,84.61,86.97,12.91,1
Other,Hispanic,Tier 1,Bachelors,15,18.28,89.08,53.69,1
Female,White,Tier 1,Bachelors,0,95.63,44.9,93.66,1
Female,Asian,Tier 2,Bachelors,1,37.67,45.93,30.84,0
Other,Asian,Tier 1,Masters,2,33.92,7.7,86.95,0
Female,Black,Tier 2,Bachelors,20,6.24,67.08,76.41,0
Other,Other,Tier 3,PhD,19,48.62,82.13,24.78,0
Female,White,Tier 2,Bachelors,16,10.9,24.47,3.63,0
Other,Black,Tier 2,PhD,19,24.85,42.13,10.18,0
Other,Hispanic,Tier 1,PhD,20,31.69,83.88,72.85,1
Female,Hispanic,Tier 1,Bachelors,0,80.88,87.71,19.97,1
Female,Asian,Tier 1,Masters,19,87.55,24.32,37.13,0
Female,Asian,Tier 2,Bachelors,5,30.25,55.06,50.17,0
Male,Hispanic,Tier 1,Masters,14,85.87,19.25,72.55,1
Male,Asian,Tier 1,Bachelors,13,85.72,10.19,11.32,0
Male,White,Tier 2,Bachelors,19,76.47,91.11,40.64,1
Other,Asian,Tier 1,Bachelors,14,14.67,82.05,48.51,0
Female,Other,Tier 1,Bachelors,13,69.03,76.0,54.08,1
Other,Asian,Tier 1,Bachelors,20,94.5,4.88,81.84,1
Male,Black,Tier 3,Masters,4,68.25,84.37,17.17,1
Female,White,Tier 2,PhD,5,33.16,43.8,80.78,0
Other,Black,Tier 2,Bachelors,16,50.06,34.24,69.29,0
Female,Black,Tier 1,Masters,10,64.57,54.65,55.59,1
Other,Other,Tier 3,Bachelors,15,51.06,9.14,69.95,0
Female,White,Tier 2,Masters,11,12.0,75.66,41.2,0
Male,White,Tier 1,PhD,14,31.21,58.24,13.84,0
Male,White,Tier 3,Masters,3,80.24,18.66,66.58,0
Female,White,Tier 1,PhD,17,86.14,18.82,52.47,0
Other,White,Tier 2,Bachelors,20,13.73,18.42,63.94,0
Male,Other,Tier 2,Masters,2,95.24,5.7,33.8,0
Male,Asian,Tier 1,Masters,7,32.88,58.78,90.69,1
Male,Black,Tier 3,Bachelors,2,66.23,84.03,58.74,1
Female,White,Tier 2,PhD,7,75.18,1.75,8.54,0
Female,Asian,Tier 2,Bachelors,17,81.19,4.9,44.98,0
Other,Asian,Tier 1,Masters,9,94.57,57.28,75.64,1
Other,Black,Tier 1,Bachelors,19,31.29,81.95,79.41,1
Other,Other,Tier 1,Bachelors,16,85.85,32.67,49.46,1
Female,Hispanic,Tier 2,Masters,7,13.17,34.96,89.47,0
Female,Hispanic,Tier 1,Masters,10,70.5,59.63,26.77,1
Other,Asian,Tier 2,Bachelors,4,74.2,27.42,41.06,0
Other,Black,Tier 2,Bachelors,12,67.77,2.66,89.86,0
Female,Hispanic,Tier 1,Masters,20,25.23,73.52,89.63,1
Other,Asian,Tier 2,Bachelors,4,87.3,62.56,68.57,1
Male,Other,Tier 1,Bachelors,12,16.89,58.08,85.9,0
Female,Hispanic,Tier 3,PhD,5,5.36,74.17,8.88,0
Other,Asian,Tier 2,Masters,4,71.75,67.52,86.5,1
Female,Asian,Tier 1,Bachelors,8,47.55,20.59,32.06,0
Male,White,Tier 1,Masters,15,84.91,35.25,17.83,0
Female,Other,Tier 2,Masters,1,38.34,12.61,23.94,0
Female,White,Tier 2,Masters,0,16.83,12.99,41.8,0
Female,Black,Tier 2,Masters,7,83.64,67.62,25.12,1
Female,White,Tier 2,Bachelors,18,54.89,85.86,32.06,1
Male,White,Tier 1,Bachelors,10,18.92,96.27,13.5,0
